rabbits_albatrosses,rabbits_prions,rabbits_burrowSeabirds,rabbits_petrels,rabbits_herbfield,rabbits_macroInverts,rabbits_mice,rabbits_penguins,rabbits_rabbits,rabbits_rats,rabbits_redpolls,rabbits_skuas,rabbits_surfaceSeabirds,rabbits_tussock
pos,pos,pos,pos,pos,neg,neg,neg,neg,pos,neg,neg,neg,pos
pos,neg,pos,neg,pos,neg,pos,neg,neg,pos,neg,pos,neg,pos
pos,pos,pos,pos,pos,neg,pos,pos,neg,neg,pos,neg,pos,pos
pos,neg,pos,neg,pos,neg,neg,neg,neg,neg,pos,pos,pos,pos
pos,neg,pos,pos,pos,neg,neg,neg,neg,pos,pos,pos,neg,pos
pos,neg,pos,pos,pos,neg,pos,neg,neg,pos,neg,pos,neg,pos
pos,pos,pos,pos,pos,neg,neg,pos,neg,neg,pos,neg,pos,pos
pos,neg,pos,neg,pos,neg,neg,neg,neg,pos,pos,pos,neg,pos
pos,neg,pos,pos,pos,neg,neg,neg,neg,neg,pos,pos,pos,pos
pos,neg,pos,neg,pos,neg,pos,neg,neg,neg,neg,pos,pos,pos
pos,pos,pos,pos,pos,neg,pos,pos,neg,neg,neg,neg,pos,pos
pos,neg,pos,neg,pos,neg,pos,neg,neg,pos,pos,pos,neg,pos
pos,pos,pos,pos,pos,pos,pos,neg,neg,pos,pos,neg,neg,pos
pos,neg,pos,pos,pos,pos,neg,neg,neg,pos,pos,pos,neg,pos
pos,pos,pos,pos,pos,neg,neg,pos,neg,pos,neg,neg,neg,pos
pos,neg,pos,neg,pos,pos,neg,neg,neg,pos,pos,pos,neg,pos
pos,neg,pos,neg,pos,neg,pos,neg,neg,neg,pos,pos,pos,pos
pos,neg,pos,pos,pos,pos,pos,neg,neg,pos,pos,pos,neg,pos
pos,pos,pos,pos,pos,pos,neg,neg,neg,pos,pos,neg,neg,pos
pos,pos,pos,pos,pos,pos,neg,pos,neg,pos,pos,neg,neg,pos
pos,pos,pos,pos,pos,neg,pos,neg,neg,pos,neg,neg,neg,pos
pos,neg,pos,neg,pos,neg,neg,neg,neg,pos,neg,pos,neg,pos
pos,pos,pos,pos,pos,neg,pos,neg,neg,pos,pos,neg,neg,pos
pos,neg,pos,neg,pos,pos,pos,neg,neg,pos,pos,pos,neg,pos
pos,pos,pos,pos,pos,neg,pos,neg,neg,neg,neg,neg,pos,pos
pos,pos,pos,pos,pos,neg,neg,neg,neg,pos,pos,neg,neg,pos
pos,neg,pos,pos,pos,neg,pos,neg,neg,pos,pos,pos,neg,pos
pos,pos,pos,pos,pos,pos,pos,pos,neg,pos,pos,neg,neg,pos
pos,neg,pos,pos,pos,neg,neg,neg,neg,pos,neg,pos,neg,pos
pos,neg,pos,pos,pos,neg,pos,neg,neg,neg,pos,pos,pos,pos
pos,pos,pos,pos,pos,neg,pos,pos,neg,pos,neg,neg,neg,pos
pos,pos,pos,pos,pos,neg,neg,neg,neg,neg,pos,neg,pos,pos
pos,pos,pos,pos,pos,neg,neg,pos,neg,pos,pos,neg,neg,pos
pos,pos,pos,pos,pos,neg,pos,pos,neg,pos,pos,neg,neg,pos
pos,neg,pos,pos,pos,neg,pos,neg,neg,neg,neg,pos,pos,pos
pos,pos,pos,pos,pos,neg,pos,neg,neg,neg,pos,neg,pos,pos
